opcode,constant_current_gas,groups,base
ADD,3,0,1
MUL,5,0,1
SUB,3,0,1
DIV,5,0,1
SDIV,5,0,1
MOD,5,0,1
SMOD,5,0,1
ADDMOD,8,0,1
MULMOD,8,0,1
EXP,10,0,1
SIGNEXTEND,5,0,1
LT,3,0,1
GT,3,0,1
SLT,3,0,1
SGT,3,0,1
EQ,3,0,1
ISZERO,3,0,1
AND,3,0,1
OR,3,0,1
XOR,3,0,1
NOT,3,0,1
BYTE,3,0,1
SHL,3,0,1
SHR,3,0,1
SAR,3,0,1
ADDRESS,2,0,1
ORIGIN,2,0,1
CALLER,2,0,1
CALLVALUE,2,0,1
CALLDATALOAD,3,0,1
CALLDATASIZE,2,0,1
CALLDATACOPY,6,0,1
CODESIZE,2,0,1
CODECOPY,2,0,1
GASPRICE,2,0,1
RETURNDATASIZE,2,0,1
RETURNDATACOPY,3,0,1
COINBASE,2,0,1
TIMESTAMP,2,0,1
NUMBER,2,0,1
DIFFICULTY,2,0,1
GASLIMIT,2,0,1
CHAINID,2,0,1
SELFBALANCE,5,0,1
POP,2,0,1
MLOAD,3,0,1
MSTORE,3,0,1
MSTORE_COLD,3,6,0
MSTORE8,3,0,1
SLOAD_COLD,2100,0,1
SLOAD_WARM,100,0,1
SSTORE_COLD_CHANGE,22100,0,1
SSTORE_COLD_NO_CHANGE,2200,0,1
SSTORE_WARM_CHANGE,100,0,1
SSTORE_WARM_NO_CHANGE,100,0,1
JUMP,8,0,1
JUMPI,10,0,1
PC,2,0,1
MSIZE,2,0,1
GAS,2,0,1
JUMPDEST,1,0,1
PUSH1,3,0,1
PUSH2,3,2,0
PUSH3,3,2,0
PUSH4,3,2,0
PUSH5,3,2,0
PUSH6,3,2,0
PUSH7,3,2,0
PUSH8,3,2,0
PUSH9,3,2,0
PUSH10,3,2,0
PUSH11,3,2,0
PUSH12,3,2,0
PUSH13,3,2,0
PUSH14,3,2,0
PUSH15,3,2,0
PUSH16,3,2,0
PUSH17,3,2,0
PUSH18,3,2,0
PUSH19,3,2,0
PUSH20,3,2,0
PUSH21,3,2,0
PUSH22,3,2,0
PUSH23,3,2,0
PUSH24,3,2,0
PUSH25,3,2,0
PUSH26,3,2,0
PUSH27,3,2,0
PUSH28,3,2,0
PUSH29,3,2,0
PUSH30,3,2,0
PUSH31,3,2,0
PUSH32,3,2,0
DUP1,3,0,1
DUP2,3,2,0
DUP3,3,2,0
DUP4,3,2,0
DUP5,3,2,0
DUP6,3,2,0
DUP7,3,2,0
DUP8,3,2,0
DUP9,3,2,0
DUP10,3,2,0
DUP11,3,2,0
DUP12,3,2,0
DUP13,3,2,0
DUP14,3,2,0
DUP15,3,2,0
DUP16,3,2,0
SWAP1,3,0,1
SWAP2,3,2,0
SWAP3,3,2,0
SWAP4,3,2,0
SWAP5,3,2,0
SWAP6,3,2,0
SWAP7,3,2,0
SWAP8,3,2,0
SWAP9,3,2,0
SWAP10,3,2,0
SWAP11,3,2,0
SWAP12,3,2,0
SWAP13,3,2,0
SWAP14,3,2,0
SWAP15,3,2,0
SWAP16,3,2,0
MCOPY,6,0,1
MCOPY_COLD,6,6,0
PUSH0,2,0,1
KECCAK256,36,0,1
LOG0,631,3,0
LOG1,1006,3,0
LOG2,1381,3,0
LOG3,1756,3,0
LOG4,2131,-1,0
EXTCODEHASH,100,0,1
EXTCODESIZE,100,0,1
EXTCODECOPY,103,0,1
CREATE,32020,3,0
CALL,100,3,0
STATICCALL,100,3,0
DELEGATECALL,100,3,0
RETURN,0,3,0
REVERT,0,3,0
STOP,0,-1,0
INVALID,0,-1,0
ECRECOVER,3100,4,0
SHA2-256,172,4,0
RIPEMD-160,820,4,0
IDENTITY,118,4,0
MODEXP,300,4,0
ECADD,250,4,0
ECMUL,6100,4,0
ECPAIRING79000,79100,4,0
ECPAIRING113000,113100,4,0
ECPAIRING181000,181100,4,0
ECPAIRING317000,317100,4,0
BLAKE2F,112,4,0
POINTEVAL,50100,-1,0
TLOAD,100,7,0
TLOAD_EXT,100,7,0
TSTORE,100,7,0
TSTORE0,100,7,0
TSTORE_EXT,100,7,0
EXP_ARG1,50,8,0
KECCAK256_ARG1,6,8,0
CALLDATACOPY_ARG2,3,8,0
CODECOPY_ARG2,3,8,0
EXTCODECOPY_ARG2,3,8,0
RETURNDATACOPY_ARG2,3,8,0
MCOPY_ARG2,3,8,0
LOG0_ARG1,8,8,0
LOG1_ARG1,8,8,0
LOG2_ARG1,8,8,0
LOG3_ARG1,8,8,0
LOG4_ARG1,8,8,0
CREATE_ARG2,2,8,0
RETURN_ARG1,0,8,0
CREATE2_ARG2,2,8,0
REVERT_ARG1,0,8,0
RIPEMD-160_ARG1,3.75,9,0
SHA2-256_ARG1,0.375,9,0
