sequence_count,iterations_count,engine_overhead_time_ns,execution_loop_time_ns,total_time_ns,mem_allocs_count,mem_allocs_bytes
1,198645,598,34,633,40,9183
50,141018,644,182,827,40,9157
100,92536,760,340,1101,40,9193
150,88026,835,557,1393,40,9177
200,67377,905,716,1622,40,9185
250,59710,1011,940,1951,40,9225
300,52803,1111,1078,2189,40,9223
350,47182,1179,1210,2390,40,9253
400,40344,1238,1484,2722,40,9234
450,38883,1321,1664,2986,40,9243
500,36052,1458,1837,3296,40,9218
550,31587,1507,1975,3482,40,9313
600,29732,1637,2161,3799,40,9313
650,29616,1675,2415,4090,40,9267
700,26635,1819,2646,4466,40,9317
750,24927,1897,2886,4783,40,9319
800,20385,2001,3645,5647,40,9322
850,20236,2380,3695,6075,40,9334
900,18286,2419,3995,6414,40,9458
950,19042,2444,4125,6570,40,9442
