program_id,sample_id,total_time_ns,mem_allocs,mem_alloc_bytes
TLOAD_0,1,17156,91,9001
TLOAD_5,1,19778,91,9002
TLOAD_10,1,18358,91,9002
TLOAD_15,1,19265,91,9000
TLOAD_20,1,22549,91,9000
TLOAD_25,1,21023,91,9000
TLOAD_30,1,20635,91,8997
TLOAD_35,1,20709,91,9001
TLOAD_40,1,23758,91,8998
TLOAD_45,1,28009,91,9000
TLOAD_50,1,22269,91,9000
TLOAD_EXT_0,1,116157,498,34032
TLOAD_EXT_5,1,107215,498,34028
TLOAD_EXT_10,1,123589,498,34026
TLOAD_EXT_15,1,109919,498,34025
TLOAD_EXT_20,1,119989,498,34020
TLOAD_EXT_25,1,114695,498,34023
TLOAD_EXT_30,1,122504,498,34021
TLOAD_EXT_35,1,122556,498,34024
TLOAD_EXT_40,1,110927,498,34033
TLOAD_EXT_45,1,111494,498,34029
TLOAD_EXT_50,1,116289,498,34030
TSTORE_0,1,20932,87,8045
TSTORE_5,1,19689,96,9524
TSTORE_10,1,20758,102,10268
TSTORE_15,1,23120,108,11260
TSTORE_20,1,26622,113,11736
TSTORE_25,1,26000,118,12223
TSTORE_30,1,28629,124,13863
TSTORE_35,1,29764,129,14347
TSTORE_40,1,31080,134,14824
TSTORE_45,1,32528,139,15307
TSTORE_50,1,34438,144,15788
TSTORE0_0,1,16441,87,8052
TSTORE0_5,1,19210,96,9528
TSTORE0_10,1,22766,103,11435
TSTORE0_15,1,26878,111,14906
TSTORE0_20,1,28732,116,15476
TSTORE0_25,1,31083,123,16230
TSTORE0_30,1,37096,131,22872
TSTORE0_35,1,39562,136,23426
TSTORE0_40,1,40646,142,24043
TSTORE0_45,1,44679,148,24757
TSTORE0_50,1,44630,154,25558
TSTORE_EXT_0,1,111905,490,31850
TSTORE_EXT_5,1,112840,499,33719
TSTORE_EXT_10,1,113643,504,34194
TSTORE_EXT_15,1,117748,509,34671
TSTORE_EXT_20,1,119215,515,36304
TSTORE_EXT_25,1,120877,520,36787
TSTORE_EXT_30,1,120734,525,37269
TSTORE_EXT_35,1,125493,530,37752
TSTORE_EXT_40,1,126813,535,38230
TSTORE_EXT_45,1,126536,540,38707
TSTORE_EXT_50,1,129125,545,39186
